tickerName,modelName,RMSE,sharpeRatio,expectedValue
ARGX,BiDirectional LSTM,16.443253426875238,0.10359446,473.3378
ARGX,LSTM,30.1679946848298,0.18444473,482.02695
ARGX,RNN,12.440693239801062,0.098521225,478.3062
ARGX,ANN,25.755222521324672,0.12585908,475.87262
ARGX,CNN,21.957025940705805,0.20810923,441.2375
ARGX,Random Forrest,43.39955184318592,0.22433486687613627,None
ARGX,Attention-based LSTM,55.450334245563695,0.057537347391277804,493.215
AVGO,BiDirectional LSTM,39.51434529157765,0.2999839,889.0786
AVGO,LSTM,85.74923694964664,0.42341346,887.0529
AVGO,RNN,21.4634367362771,0.17164995,893.4743
AVGO,ANN,36.593084655112854,0.35756063,887.8883
AVGO,CNN,32.559773929332984,0.19177178,844.6795
AVGO,Random Forrest,70.78092219939764,0.2019743863389163,None
AVGO,Attention-based LSTM,61.95322535114307,0.15254999458102197,888.09576
BLK,BiDirectional LSTM,10.029929338508643,0.09598419,711.24713
BLK,LSTM,17.048565588202813,0.057511415,706.24347
BLK,RNN,8.881069406431893,0.094630025,711.83484
BLK,ANN,13.36207046975247,0.1102937,710.761
BLK,CNN,84.23769973486876,0.12058504,644.1144
BLK,Random Forrest,56.93098291535479,0.14476775870858302,None
BLK,Attention-based LSTM,29.780981492803424,0.0035930518664025963,733.20123
AZO,BiDirectional LSTM,75.57763136870082,-0.12752558,2457.7197
AZO,LSTM,63.513699089618164,-0.10492444,2465.9788
AZO,RNN,35.896449768308756,0.015965264,2461.571
AZO,ANN,53.65010464904282,-0.16657944,2472.8503
AZO,CNN,64.35445135464016,0.22121985,2524.2622
AZO,Random Forrest,426.98038922374843,0.2132301457849033,None
AZO,Attention-based LSTM,104.75426549734446,-0.015774444997350326,2477.2717
ADBE,BiDirectional LSTM,10.500670877784426,0.29198447,528.1607
ADBE,LSTM,15.492199935713558,0.32607177,515.5805
ADBE,RNN,9.69915319184431,0.26971707,532.1354
ADBE,ANN,15.563648967393108,0.38457763,525.55914
ADBE,CNN,35.791442620824206,0.13997422,492.3025
ADBE,Random Forrest,20.61128511735864,0.16099121586510975,None
ADBE,Attention-based LSTM,25.54135286860163,0.1297739010573044,524.976
BKNG,BiDirectional LSTM,62.17940747066197,0.11738338,3203.3604
BKNG,LSTM,115.26804190372363,0.10620681,3027.6458
BKNG,RNN,51.60397285253956,0.12742154,3245.0708
BKNG,ANN,65.14022528451918,0.12407797,3210.279
BKNG,CNN,237.05416795948184,0.09946332,2733.3042
BKNG,Random Forrest,733.0100422086493,0.11591850883468159,None
BKNG,Attention-based LSTM,122.86126261238296,0.14573098074567956,2939.9285
ASML,BiDirectional LSTM,19.132165927716947,0.10891078,691.1157
ASML,LSTM,19.62367129993934,0.0759832,675.24005
ASML,RNN,14.791045581585045,0.054958794,687.44025
ASML,ANN,19.768223017964917,0.112511106,689.2653
ASML,CNN,29.34541771773847,0.2025012,682.8538
ASML,Random Forrest,45.70435483612637,0.2337349590421726,None
ASML,Attention-based LSTM,44.74665834152889,0.04086335865040517,717.1695
CABO,BiDirectional LSTM,20.261913259375707,0.030863188,675.1272
CABO,LSTM,28.455422125501908,0.013997673,663.88245
CABO,RNN,20.079703747873587,0.0846804,667.2877
CABO,ANN,41.57889486151373,0.04705436,696.55493
CABO,CNN,84.66996477164305,0.26375902,674.74225
CABO,Random Forrest,305.898759522553,0.23854806170601905,None
CABO,Attention-based LSTM,344.90281266057457,-0.00864401846047784,686.9867
BIO,BiDirectional LSTM,11.50402897359036,-0.05394614,401.15857
BIO,LSTM,15.857077001847944,-0.08072486,400.6995
BIO,RNN,10.991719781451707,-0.09700854,400.8162
BIO,ANN,15.599775038855297,-0.108857006,401.525
BIO,CNN,37.620648397768335,0.13887765,384.66385
BIO,Random Forrest,30.069416698623638,0.1597761884031141,None
BIO,Attention-based LSTM,21.778503612024725,0.0027947314936283335,403.8406
CACC,BiDirectional LSTM,15.938496265734926,0.033267017,499.5453
CACC,LSTM,15.177799594402824,0.024458505,496.42157
CACC,RNN,13.572650360139315,0.09125383,500.18146
CACC,ANN,15.140564704602655,0.031053979,492.96152
CACC,CNN,53.49497480057567,0.13387173,455.91653
CACC,Random Forrest,34.36636806602159,0.13987441585221727,None
CACC,Attention-based LSTM,34.45530611187497,0.025386560828588856,533.0918
COST,BiDirectional LSTM,8.806183362271556,0.18126199,559.0611
COST,LSTM,7.2326932567759705,0.1985873,555.4411
COST,RNN,5.324534853842003,0.17591853,558.23535
COST,ANN,9.530572082353252,0.22015859,554.73016
COST,CNN,60.222821648070784,0.15009725,482.56076
COST,Random Forrest,19.252613670647992,0.15374911406581063,None
COST,Attention-based LSTM,14.604647109712895,0.01705704287947211,558.2808
CHE,BiDirectional LSTM,7.468542440458306,-0.12329744,517.9026
CHE,LSTM,17.39015515987972,-0.15644506,511.79822
CHE,RNN,10.744492072256259,0.002106164,515.3245
CHE,ANN,8.087810795778548,-0.099974036,515.79913
CHE,CNN,49.994161320729035,0.036736216,480.13412
CHE,Random Forrest,27.749027396906524,0.050708918595822036,None
CHE,Attention-based LSTM,29.820648640405253,0.0003359161759607739,525.2881
CROX,BiDirectional LSTM,5.4741895135286835,-0.16609475,105.75499
CROX,LSTM,7.029986212017747,-0.13848619,105.97067
CROX,RNN,4.475389699536931,-0.008120345,105.128746
CROX,ANN,7.535236721838409,-0.25737756,104.99771
